question,answer,stack,correct,minor difference,wrong
What is the name of the Vikings' battle?,Battle of Wessex,History,1,,
What is the name of the place where the first hominid footprints were found?,Happisburgh,History,1,,
What was the name of the first recorded landing of Vikings?,"The first recorded landing of Vikings took place in 787 in Dorsetshire, on the south-west coast.[47]",History,1,,
What was the name of the king who ruled England under the Danes?,William I of England,History,1,,
What did Edward III give to powerful noble families?,Edward III gave land to powerful noble families,History,1,,
Who was Henry VIII's first cousin?,Edward III,History,1,,
Who was the first to be executed for adultery?,"Elizabeth I""",History,1,,
What country was the first monarch to rule the island of Britain?,King James I of England,History,1,,
What was the name of the UK Parliament?,Parliament of Great Britain,History,1,,
What was the name of the government that resigned in the election of the Conservatives?,The Anglo-Saxon Empire.,History,1,,
What is the name of the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on,"English historical documents, 1714–1783 (Routledge, 2010 reprint)",History,,,1
What is the name of the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on the book that is based on,00:29,History,,,1
What are the main sources of energy in the UK?,br>,History,,,1
What year did the kings of England first occupy the island?,"During the early part of the 9th century, the kings of England occupied the island.",Geschichte,,1,
What was the name of the king who was a king?,Harold was the king of England,Geschichte,,1,
What was the name of the king's wife?,In what year did the king's reign end?,Geschichte,,,1
What was the name of the king who ruled France during the Hundred Years' War?," Hauptartikel: Hundertjähriger KriegDarstellung der Schlacht von Crécy, rechts in den Vordergrund englische LangbogenschützenDas Erstarken des französischen Königtums führte dazu, dass Philipp VI. 1337 die Gascogne konfiszierte, weil der englische König Eduard III. seine Vasallenpflicht ihm gegenüber verletzt hatte. Eduard wollte den endgültigen Verlust der französischen Besitzungen nicht hinnehmen. Darüber hinaus war die Gascogne für den englischen Weinhandel von große Bedeutung.",Geschichte,,1,
What was the influence of the great Adel on the development of England?,The influence of the great Adel on the development of England,Geschichte,,,1
What was the most important issue in the history of the Church?,"In vielen Einzelheiten, hat Edward Seymour gesehen, wie es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es es e",Geschichte,,,1
Who was the king of England?,"Maria Stuart erbrecht, durch eine Aufstand vertriebene Königin Schottland. Hätte Elisabeth diesen Anspruch unterstützt, erwärt.",Geschichte,,,1
What is the name of the poet who wrote the famous Droeshout-Portrait Shakespeare?,Shakespeare,Geschichte,1,,
What was the name of the king's wife?,"In dieser Epoche war es für nicht erbberechtigte jüngere Söhne aus adligen Familien spätestens am Ende des 16. Jahrhunderts nicht ehrenrührig, eine Karriere als Händler, obwohl bei weitem die Mehrheit für eine klerikale oder militärische Laufbahn gekommen sind.",Geschichte,,,1
What was the name of the king's wife?,"The Great Pest (1665), the Great Brand of London (1666) and the successful war against the Netherlands (1665–1667) led to a rise in unrest with the king.",Geschichte,,,1
What was the name of the king's son?,In what year did the king's son Richard Cromwell die king's son?,Geschichte,,,1
What is the name of the book that was published in the UK in the 18th century?,My tools Not angemeldetDiskussions pageBeiträgeBenutzerkonto erstellenAnmelden Namensräume ArtikelDiskussion Deutsch Ansichten LesenBearbeitenQuelltext bearbeitenVersionsgeschichte,Geschichte,,,1
What is the name of the book that was published in the UK in 1976?,,Geschichte,,,1
What is the name of the mathematical formulation of quantum mechanics?,Quantum mechanics is a fundamental theory in physics that describes the behavior of nature at and below the scale of atoms.[2],Physics,1,,
What is the state of a quantum mechanical system called?,a state of a quantum mechanical system,Physics,,,1
What is the Hilbert space?,"The Hilbert space is the space of complex square-integrable functions L 2 ( C ) displaystyle L2(mathbb C ) , while the Hilbert space for the spin of a single proton is simply the space of two-dimensional complex vectors C 2 displaystyle mathbb C 2 with the usual inner product. The probabilistic nature of quantum mechanics thus stems from the act of measurement. This is one of the most difficult aspects of quantum systems to understand.[17] The time evolution of a quantum state is described by the Schrödinger equation: i  d d t  ( t ) = H  ( t ) . displaystyle ihbar frac ddtpsi (t) = H  ( t ) . displaystyle ihbar frac ddtpsi (t) = H  ( t ) .",Physics,1,,
What is the general solution of the Schrödinger equation?,"displaystyle psi (x , t ) = 1 2                                                                                                                   ",Physics,1,,
What is the generalization of the infinite potential well problem to potential wells having finite depth?,A finite potential well is the generalization of the infinite potential well problem to potential wells having finite depth.,Physics,1,,
